id,Name,Latitude,Longitude
2528,Hart Crag,54.492752,-2.976954
2529,High Raise (High Street),54.513367,-2.853779
2531,Rampsgill Head,54.508092,-2.861252
2532,Dove Crag,54.4854,-2.96693
2533,Watson's Dodd,54.566917,-3.028995
2534,Thornthwaite Crag,54.482611,-2.878976
2535,Kidsty Pike,54.505513,-2.854959
2536,Harter Fell (Mardale),54.476414,-2.835323
2537,Red Screes,54.47058,-2.932572
2538,Great Rigg,54.484906,-2.995692
2539,Stony Cove Pike [Caudale Moor],54.48206,-2.90008
2540,Mardale Ill Bell,54.483418,-2.854112
2541,Ill Bell,54.462017,-2.870837
2542,Hart Side,54.568719,-2.992938
2543,The Knott (High Street),54.506316,-2.870821
2544,Seat Sandal,54.494857,-3.014027
2545,Kentmere Pike,54.462682,-2.826034
2546,Clough Head,54.593661,-3.032362
2547,Froswick,54.468949,-2.872974
2548,Birkhouse Moor,54.535033,-2.98532
2549,Branstree,54.482669,-2.807575
2550,Yoke,54.452928,-2.868731
2551,Gray Crag,54.497475,-2.885379
2552,Rest Dodd,54.514937,-2.878033
2553,Sheffield Pike,54.554936,-2.977002
2555,Loadpot Hill,54.554737,-2.842087
2556,Wether Hill,54.543239,-2.842453
2558,Tarn Crag (Sleddale),54.463458,-2.790658
2560,Place Fell,54.544269,-2.920725
2561,High Pike (Scandale),54.470976,-2.966791
2562,Selside Pike,54.49308,-2.787925
2563,Middle Dodd,54.477939,-2.931566
2564,Grey Crag [Sleddale Fell],54.457874,-2.777191
2565,Little Hart Crag [Little Hart Crag - West Top],54.481916,-2.947169
2569,Birks,54.520711,-2.959051
2571,Hartsop Dodd,54.498538,-2.910448
2572,Heron Pike (Rydal),54.466072,-2.995142
2573,Shipman Knotts,54.448577,-2.814707
2576,The Nab,54.528893,-2.875675
2577,Hartsop Above How [Gill Crag - Hartsop Above How],54.499595,-2.953955
2578,Angletarn Pikes [Angletarn Pikes North Top],54.525312,-2.907984
2581,Brock Crags (Wainwright),54.514891,-2.902593
